"n","d","d_label","weight_label","a_w","b_w","prior","reject_rate","mean_ev","mean_k_star","sd_k_star"
150,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.833333333333333,0.371293583816629,0.643724355407046,0.125926993031568
150,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0.4,0.371293583816629,0.169618023582773,0.0849433218485965
150,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0.333333333333333,0.371293583816629,0.0744478081721308,0.0548530050754325
150,0.1,"Delta=0.10 (medium)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.733333333333333,0.344061629292209,0.606028247119312,0.219708168458534
150,0.1,"Delta=0.10 (medium)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0.333333333333333,0.344061629292209,0.116765769134651,0.087093902595528
150,0.1,"Delta=0.10 (medium)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0.266666666666667,0.344061629292209,0.0518040227742131,0.037480889768706
30,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Non-informative",0.933333333333333,0.152811432780339,0.334971858066431,0.133911414026699
30,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Non-informative",0.466666666666667,0.152811432780339,0.0589733601951716,0.0301256780795168
30,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Non-informative",0.266666666666667,0.152811432780339,0.0208753523329517,0.0172483678946461
30,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",0.866666666666667,0.569446932413724,0.862283254931825,0.0715575354445026
30,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0.233333333333333,0.569446932413724,0.336506435389006,0.167922907343562
30,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0.166666666666667,0.569446932413724,0.27657577497435,0.1494095503305
30,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.9,0.429480198197222,0.779289719743749,0.102436941394926
30,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0.2,0.429480198197222,0.132282334081504,0.0908094360373409
30,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0.1,0.429480198197222,0.0829407161099955,0.0641936088571405
50,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Non-informative",1,0.0255187774688845,0.229598910230676,0.117007279083373
50,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Non-informative",0.9,0.0255187774688845,0.0617417962603714,0.0384090874040513
50,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Non-informative",0.666666666666667,0.0255187774688845,0.0210607918287487,0.0136266416753678
50,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",1,0.24032324956856,0.781126781180542,0.0623721150074262
50,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0.766666666666667,0.24032324956856,0.379611612079961,0.101515647025862
50,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0.533333333333333,0.24032324956856,0.229148284199432,0.0846509369143179
50,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",0.966666666666667,0.154956413906446,0.789081371987805,0.15494710292201
50,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0.4,0.154956413906446,0.114065261116772,0.0679105683272573
50,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0.266666666666667,0.154956413906446,0.0635779362657023,0.0391971637265385
75,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Non-informative",0.966666666666667,0.0229352351511821,0.160414771898181,0.0878266790948506
75,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Non-informative",0.966666666666667,0.0229352351511821,0.0575730018480073,0.0343978701327291
75,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Non-informative",0.833333333333333,0.0229352351511821,0.019740337234291,0.0112487063356365
75,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",1,0.125117859671758,0.740454141439182,0.062059781123618
75,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0.866666666666667,0.125117859671758,0.342673887787758,0.0918618560050344
75,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0.7,0.125117859671758,0.173027463152783,0.0728456790585102
75,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Conflict (mu=0.1)",1,0.0889767126339281,0.761103964277167,0.187928576807152
75,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Conflict (mu=0.1)",0.766666666666667,0.0889767126339281,0.125083023435612,0.0634726265281113
75,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Conflict (mu=0.1)",0.566666666666667,0.0889767126339281,0.071696300171917,0.0490408087926638
100,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Non-informative",1,0.00101394397822313,0.0895140091487194,0.0479375270202516
100,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Non-informative",1,0.00101394397822313,0.0378980964033316,0.0232272517581666
100,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Non-informative",1,0.00101394397822313,0.0154111052540593,0.0130640816780171
100,0.3,"Delta=0.30 (large)","a=1, b=1 (balanced)",1,1,"Informative (mu=0.5)",1,0.0210985771013081,0.621336051920307,0.0733596900564922
100,0.3,"Delta=0.30 (large)","a=5, b=1 (moderate)",5,1,"Informative (mu=0.5)",0.966666666666667,0.0210985771013081,0.310001182527868,0.0762320001867498
100,0.3,"Delta=0.30 (large)","a=20, b=1 (strict)",20,1,"Informative (mu=0.5)",0.966666666666667,0.0210985771013081,0.179387514149345,0.0679139474717382
